index,tweet,clean_tweet,topic,negative,neutral,positive
198100,fell asleep at 5 pm and woke up at 7 am. my sleep rhythm is so f*ucked up ,fell asleep at 5 pm and woke up at 7 am. my sleep rhythm is so f*ucked up ,1,0.9543563,0.039037064,0.006606666
1543912,I think I'm one of the only ppl in the world that loves Mondays...oh how I love Mondays ,I think I'm one of the only ppl in the world that loves Mondays...oh how I love Mondays ,5,0.0019811208,0.013367421,0.9846513
1400745,My birthday is next Friday BTW ,My birthday is next Friday BTW ,2,0.0063283024,0.40683132,0.5868404
1424513,Is catching up on beauty sleep ,Is catching up on beauty sleep ,1,0.087213665,0.73374027,0.17904603
737864,i caught him cheating..hmmmm  http://plurk.com/p/12p2iw,i caught him cheating..hmmmm  http,0,0.6475763,0.3333717,0.019051982
478892,@leayshia havnt seen a new pic of Him for over a month. hard to give it up  how r u ?? Ok ?,@user havnt seen a new pic of Him for over a month. hard to give it up  how r u ?? Ok ?,7,0.48436844,0.46519795,0.050433572
1206626,http://twitpic.com/6dneq - Thank god for the first woman who insisted on waxing my brows... ,http - Thank god for the first woman who insisted on waxing my brows... ,3,0.007558906,0.11759751,0.87484354
1541366,decided to take a nap ,decided to take a nap ,1,0.11258463,0.7714399,0.11597556
542230,"@GloriVi lol, i wanna buy the shampoo but i dint have money ","@user lol, i wanna buy the shampoo but i dint have money ",3,0.4789207,0.44772288,0.07335642
1597590,http://twitpic.com/7jlb7 - I'm up for one of these ,http - I'm up for one of these ,0,0.0075570825,0.26717654,0.7252663
829496,"im pretty clever, put my own hair extensions back in ","im pretty clever, put my own hair extensions back in ",3,0.007842565,0.12174549,0.87041193
684810,I am suffering from a case of insomnia ,I am suffering from a case of insomnia ,1,0.9346227,0.060014777,0.0053626643
1310813,Happy Birthday @hodgman! ,Happy Birthday @user! ,2,0.0013819174,0.010914751,0.98770326
1230900,@HammerHead4Him thanks man! I appreciate the shout out and the birthday love ,@user thanks man! I appreciate the shout out and the birthday love ,2,0.0012817307,0.012501443,0.9862168
779145,damn the weatherforcast says that it will rain this evening  please let the sun still shine after work!!!,damn the weatherforcast says that it will rain this evening  please let the sun still shine after work!!!,4,0.20772663,0.42567307,0.3666004
1467416,@rbmartin Just a stud I'd imagine. A ring would be too butch. I was gonna get my eyebrow done but I've decided against that for now. ,@user Just a stud I'd imagine. A ring would be too butch. I was gonna get my eyebrow done but I've decided against that for now. ,3,0.46210673,0.4971698,0.040723473
872255,Happy half birthday to me ,Happy half birthday to me ,2,0.0016875901,0.017720193,0.98059213
1037958,sleepy but not sleepy... I think I'll read ,sleepy but not sleepy... I think I'll read ,1,0.030366499,0.5355354,0.4340981
632691,@JewleeB can I touch your hair? ,@user can I touch your hair? ,3,0.06035071,0.88046557,0.05918374
244328,Monday blues.. I dont wanna go office tomorrow ,Monday blues.. I dont wanna go office tomorrow ,5,0.86096007,0.1191111,0.019929085
566087,only gamereplays can cut me down to 4 hrs of sleep ,only gamereplays can cut me down to 4 hrs of sleep ,1,0.36058918,0.55522776,0.084182985
1017058,"wow, it's raining elephants ","wow, it's raining elephants ",4,0.2324348,0.5071146,0.2604506
319258,@kvetchingeditor your profile pic is gone ,@user your profile pic is gone ,7,0.44146788,0.51749915,0.04103303
1505219,@DvineExpression Good night! I like your new pic too! ,@user Good night! I like your new pic too! ,7,0.0009653085,0.011900189,0.98713446
469576,Eww its raining ,Eww its raining ,4,0.8190413,0.15589042,0.025068326
265613,@ItsCookie  no I didn't get to get any! Maya got some footage tho I'll have to get it from her. Omg we were in the pool chillin and the,@user  no I didn't get to get any! Maya got some footage tho I'll have to get it from her. Omg we were in the pool chillin and the,6,0.2534186,0.6006657,0.14591573
198555,"I really don't want to wake up. Ok I mean I'm awake, but I don't want to get out of bed yet.   ","I really don't want to wake up. Ok I mean I'm awake, but I don't want to get out of bed yet.   ",1,0.8825562,0.104158275,0.013285601
76244,Why does Monday have to come so quickly? ,Why does Monday have to come so quickly? ,5,0.76951504,0.20154642,0.02893868
780380,@PanNORA I never had that problem before but lately it's been happening 2 me too and I can't standing. I can't function w/out sleep ,@user I never had that problem before but lately it's been happening 2 me too and I can't standing. I can't function w/out sleep ,1,0.87603766,0.11356863,0.010393828
1074602,"@alexissxjonas saw your hair and i promised i wouldn't freak out, but yeah its cute!  can your bangs still shift places? lol","@user saw your hair and i promised i wouldn't freak out, but yeah its cute!  can your bangs still shift places? lol",3,0.0027853032,0.0364005,0.9608142
819140,"@KourtneyKardash You're 11 days older than I am Kourt, my 30th will be on April 29th  Enjoy Mexico!","@user You're 11 days older than I am Kourt, my 30th will be on April 29th  Enjoy Mexico!",2,0.0025296581,0.07256132,0.924909
1449433,Lurve lazy sunday naps... ,Lurve lazy sunday naps... ,1,0.19022165,0.6206411,0.18913727
803504,"at resolution of 1680x1050, all medium settings to test on fraps locked 30 FPS perfectly smooth video, on youtube now...  link to follow","at resolution of 1680x1050, all medium settings to test on fraps locked 30 FPS perfectly smooth video, on youtube now...  link to follow",6,0.018936438,0.5942344,0.3868291
933235,"#Rpattz aw, in canada.. rob's birthday is about 2 end in 3 mins  NOOOOOOOO. Well Nikki's birthday is this sunday ! ","#Rpattz aw, in canada.. rob's birthday is about 2 end in 3 mins  NOOOOOOOO. Well Nikki's birthday is this sunday ! ",2,0.4556369,0.42322135,0.121141724
817183,Haha! Gem just bit V on the nose! Classical Gemini ,Haha! Gem just bit V on the nose! Classical Gemini ,2,0.100537084,0.56853795,0.33092496
1281911,@mobile_world time to change your id pic ,@user time to change your id pic ,7,0.23393852,0.71510226,0.050959207
144295,no 4 day weekend...had to come in to work today  but I am getting a new hairdo this afternoon! so that's a plus,no 4 day weekend...had to come in to work today  but I am getting a new hairdo this afternoon! so that's a plus,5,0.0023171348,0.048867755,0.94881517
57712,"Almost 4 a.m., still not tired  What's wrong with me?!","Almost 4 a.m., still not tired  What's wrong with me?!",1,0.8173738,0.15689349,0.02573264
28080,"Sundays are always depressing, because you have to worry about Mondays the following day ","Sundays are always depressing, because you have to worry about Mondays the following day ",5,0.8862524,0.09746306,0.016284583
1092246,"JoBro today then Big 10 tonight  can't decide what colour to do my hair :/ &amp; i was goin to say smething important, can't remember. ","JoBro today then Big 10 tonight  can't decide what colour to do my hair :/ &amp; i was goin to say smething important, can't remember. ",3,0.5558513,0.39655912,0.047589615
1392374,@jonathanniehaus LoL.. have you watch that talk show before? its from Singapore. I what it via youtube ,@user LoL.. have you watch that talk show before? its from Singapore. I what it via youtube ,6,0.10786945,0.774733,0.11739758
295723,thinks there's way too much rain on the weather forecast ,thinks there's way too much rain on the weather forecast ,4,0.64790875,0.3131627,0.038928464
1477823,http://twitpic.com/6u8ne Love this pic taken with @msjbobby  dunno why just love it haha ,http Love this pic taken with @user  dunno why just love it haha ,7,0.002353415,0.010878728,0.9867679
330719,"@selfproduction cutting is the worst part  in my opinion anyway. I am cutting stupid..lol. paper, fabric, anything","@user cutting is the worst part  in my opinion anyway. I am cutting stupid..lol. paper, fabric, anything",3,0.9492587,0.04450647,0.0062348903
1538655,"@katiejenan happy early, soon to be birthday 10 days from now! I love birthdays ","@user happy early, soon to be birthday 10 days from now! I love birthdays ",2,0.001112362,0.005338495,0.9935493
215216,Today = SEM Work... Apparently this is how I spend my weekends now since there is only time for SEO during work hours ,Today = SEM Work... Apparently this is how I spend my weekends now since there is only time for SEO during work hours ,5,0.27671534,0.5744993,0.14878547
1015708,"hey, look. It's Friday. ","hey, look. It's Friday. ",5,0.026786815,0.53428835,0.43892488
878377,http://twitpic.com/4gtmr - Everyday is a Betsey Day ,http - Everyday is a Betsey Day ,0,0.0135787055,0.54340005,0.4430212
230339,"what am i doing?  - obviously not sleeping like i should be   stupid, stupid insomnia","what am i doing?  - obviously not sleeping like i should be   stupid, stupid insomnia",1,0.9540528,0.040511705,0.0054353266
597490,i wan to upload videooooooo plsssssss!  #fb,i wan to upload videooooooo plsssssss!  #fb,6,0.0121631,0.3241275,0.6637095
58183,Why can't I go to sleep?  Early flight in the am     ,Why can't I go to sleep?  Early flight in the am     ,1,0.85594535,0.13071145,0.01334321
164497,@tiffaniallen: i'm happy you got your hair did!! and i cant wait til i get back to see it! we're leaving today ,@user: i'm happy you got your hair did!! and i cant wait til i get back to see it! we're leaving today ,3,0.0014814714,0.010888666,0.98762983
613454,Ä±'m soooo tired today.because Ä±'m sleeping 3 hours but Ä±'ve been on one's legs all day '' 20 hours'' ,Ä±'m soooo tired today.because Ä±'m sleeping 3 hours but Ä±'ve been on one's legs all day '' 20 hours'' ,1,0.81807643,0.15545599,0.02646752
991741,http://bit.ly/l83i1  for HSG wish list  you wish!,http  for HSG wish list  you wish!,0,0.013569812,0.43346044,0.55296963
1579319,@ThaiThais Happy Birthday big papa. ,@user Happy Birthday big papa. ,2,0.0012519965,0.017835148,0.9809129
546087,Just checked out these tags in the Mission http://bit.ly/qiF4f  Now I'm miss SF ,Just checked out these tags in the Mission http  Now I'm miss SF ,0,0.47550923,0.45927206,0.06521881
684974,Cant sleep.  maybe its the 5 hour nap i had today.,Cant sleep.  maybe its the 5 hour nap i had today.,1,0.64500403,0.31562847,0.039367575
200099,7:26am...hella awake....wtf? Good morning n shhhit tweeps....whatever...I'm tired. ,7:26am...hella awake....wtf? Good morning n shhhit tweeps....whatever...I'm tired. ,1,0.7048636,0.24090077,0.054235525
1216836,"did some morning edits, should read a bit better now  http://tr.im/n1i5","did some morning edits, should read a bit better now  http",0,0.11998671,0.5139166,0.36609674
166902,"Happy Birthday to meeeee!! Excited to go out tonight, but I'm gonna miss my girl ","Happy Birthday to meeeee!! Excited to go out tonight, but I'm gonna miss my girl ",2,0.002332881,0.0071592527,0.99050784
195917,http://twitpic.com/690q8 - i wanna go home ,http - i wanna go home ,0,0.238108,0.58658147,0.1753105
1241113,@cozbysweater If the sound is good- then that is probably better... I saw one video that was good but the sound sucked... so- sound good ,@user If the sound is good- then that is probably better... I saw one video that was good but the sound sucked... so- sound good ,6,0.23485264,0.3762631,0.38888434
1013889,http://twitpic.com/5ooow - the sky looks godly today. ,http - the sky looks godly today. ,0,0.0019017091,0.026124585,0.9719736
701921,Yingyi is tired now ,Yingyi is tired now ,1,0.5273081,0.44649425,0.026197582
343952,haven't been able to sleep yet ,haven't been able to sleep yet ,1,0.7443176,0.23643199,0.019250298
41809,is more upset about her hair then she thought was humanly possbile... there's a chunk missing.  awkwaaaard.  ,is more upset about her hair then she thought was humanly possbile... there's a chunk missing.  awkwaaaard.  ,3,0.9121742,0.08164683,0.006178923
1583832,"@hollowlegs I'm usually the one sleeping at about 6am, so I don't really mind  How's the hair?","@user I'm usually the one sleeping at about 6am, so I don't really mind  How's the hair?",3,0.05660163,0.6089186,0.33447978
1193082,"@Chold1 i am feeling better, i got to wait a whole year to get my photo with you, well good things come to those that wait, ","@user i am feeling better, i got to wait a whole year to get my photo with you, well good things come to those that wait, ",7,0.018676784,0.10500169,0.87632155
1298186,@babblingbrookie It's your birthday?! ow..Happy Birthday! wish you all the best ,@user It's your birthday?! ow..Happy Birthday! wish you all the best ,2,0.000983384,0.007821471,0.99119514
1118705,http://twitpic.com/69ulm my happy boy ,http my happy boy ,0,0.009284313,0.10599273,0.884723
1426432,Of course tired ,Of course tired ,1,0.3740328,0.5418395,0.08412772
577699,"http://twitpic.com/7nkki - Oh Pringles, how you disappoint me so ","http - Oh Pringles, how you disappoint me so ",0,0.8758556,0.10711974,0.017024724
631143,@ConvertSpndthft I got slave hair &amp; there aint nothing I can do about it. ,@user I got slave hair &amp; there aint nothing I can do about it. ,3,0.58830076,0.36516163,0.04653755
612183,"Dang, something wrong with that last video, need to recode it ","Dang, something wrong with that last video, need to recode it ",6,0.9196885,0.07369572,0.0066158897
383497,i really hate the rain ,i really hate the rain ,4,0.9643617,0.028537,0.0071011377
657409,Am waiting for sleep to takeover me.. Gotta wake up early tml.. ,Am waiting for sleep to takeover me.. Gotta wake up early tml.. ,1,0.31208178,0.5905649,0.09735344
1077477,@LittleBurger i knw u suppose 2 get a spankin on ur birthday but dayum by the whole @Lakers team? ,@user i knw u suppose 2 get a spankin on ur birthday but dayum by the whole @user team? ,2,0.500823,0.47187024,0.027306637
379842,Tired. Want to stay in bed ,Tired. Want to stay in bed ,1,0.46032736,0.46193808,0.0777346
882606,@mileycyrus Don't dye your hair dark! I love it the colour it is ,@user Don't dye your hair dark! I love it the colour it is ,3,0.003792024,0.04236304,0.95384496
1216319,Huge gains in GeoTag sales during last few days. I wonder what happened  http://tr.im/n1fp,Huge gains in GeoTag sales during last few days. I wonder what happened  http,0,0.017097699,0.39250386,0.59039843
26930,"Only in from work, don't think i'v ever been this tired in my life....only got 20mins sleep last nite ","Only in from work, don't think i'v ever been this tired in my life....only got 20mins sleep last nite ",1,0.57988685,0.33367458,0.08643865
736641,Another loser: Ohhhh i just lost the game  http://tinyurl.com/nkgnzm,Another loser: Ohhhh i just lost the game  http,0,0.9509043,0.043925475,0.005170313
471270,monday again ,monday again ,5,0.05932058,0.75950587,0.1811736
1110477,is home  quick catch up on emails and stuff then back on it for @caarley's birthday,is home  quick catch up on emails and stuff then back on it for @user's birthday,2,0.005001514,0.49173266,0.5032658
1416515,JUST UPDATED MY MYSPACE PAGE AND TAKIN MY BRAIDS OUT ! ,JUST UPDATED MY MYSPACE PAGE AND TAKIN MY BRAIDS OUT ! ,3,0.31145194,0.5171078,0.17144027
555026,why am i even still awake?! philosophy final at 1030 ,why am i even still awake?! philosophy final at 1030 ,1,0.70421845,0.26673368,0.029047806
1191936,"@CEOTransformer Hey, Happy Birthday To You. Have a wonderful day ","@user Hey, Happy Birthday To You. Have a wonderful day ",2,0.0013174815,0.008006323,0.9906763
824307,Goood morgen  http://bit.ly/CGC5g,Goood morgen  http,0,0.0082788225,0.17613247,0.8155888
253401,the weekend is almost over already. ,the weekend is almost over already. ,5,0.07675685,0.35610473,0.56713843
555205,Muddled up feelings  - http://tweet.sg,Muddled up feelings  - http,0,0.4897281,0.4758935,0.034378503
123316,says yaaaah upe pulang  http://plurk.com/p/ui28f,says yaaaah upe pulang  http,0,0.11636387,0.7992422,0.0843938
1219473,"Great site to get free stuff in your free time http://bit.ly/2wAAqR, sign up ",Great site to get free stuff in your free time http sign up ,0,0.002122129,0.032097623,0.9657804
1302178,MY HAIR IS SO BIG N SEXY TODAY! LOVE IT! LUNCH TIME ,MY HAIR IS SO BIG N SEXY TODAY! LOVE IT! LUNCH TIME ,3,0.0015529101,0.008869611,0.9895776
964386,@shanedawson @mileycyrus i lovee youu.  &amp; please wish me a happyy birthday. &lt;3333 i'll love you moree.,@user @user i lovee youu.  &amp; please wish me a happyy birthday. &lt;3333 i'll love you moree.,2,0.0015642704,0.0058599114,0.9925757
958917,@NLTonline haha i love the picture(km.org) it just never gets old ,@user haha i love the picture(km.org) it just never gets old ,7,0.002010861,0.010046647,0.9879425
838570,@questlove yes of course.  long as i get to see pics.,@user yes of course.  long as i get to see pics.,7,0.009352732,0.23771493,0.75293237
1427127,"@owlcity i'm gonna meet you june 19th and sept 9th, me and @ashlynsantino made you a video  you excited to see it? buahaha","@user i'm gonna meet you june 19th and sept 9th, me and @user made you a video  you excited to see it? buahaha",6,0.0017300105,0.10182056,0.8964493
860678,@mrkscott Happyyyyyy Birthdayyyy Karl! Hope u have a good one! I'll drink for u here lol ,@user Happyyyyyy Birthdayyyy Karl! Hope u have a good one! I'll drink for u here lol ,2,0.0010141656,0.0077122124,0.9912735
1219840,"not sure why im up @ 6:30 when I didn't hit the sheets till like 3, but w/e .. early morning law&amp;order &amp; nickelodeon toons .. yeeesss!   ","not sure why im up @ 6:30 when I didn't hit the sheets till like 3, but w/e .. early morning law&amp;order &amp; nickelodeon toons .. yeeesss!   ",1,0.017231405,0.17116937,0.8115993
708957,so many tangles in my hair ,so many tangles in my hair ,3,0.5947665,0.35992724,0.0453064
649859,Rainy day again it seems....  You know what that means right? Fusion Flavors Dial: 914-637-8560,Rainy day again it seems....  You know what that means right? Fusion Flavors Dial: 914-637-8560,4,0.16688068,0.69664526,0.13647404
382431,Off to get a new coat for tomorrow.. Might have to invest in some wellies too! Stupid weather!  #fb,Off to get a new coat for tomorrow.. Might have to invest in some wellies too! Stupid weather!  #fb,4,0.5883581,0.30162194,0.11001993
1091949,http://twitpic.com/68v7q - Our trademark double kissie! ,http - Our trademark double kissie! ,0,0.028592024,0.46574518,0.5056628
818224,@MikaelaNBC4 Thanks! You have a good weekend too!  Is your hair naturally curly?,@user Thanks! You have a good weekend too!  Is your hair naturally curly?,3,0.00097161205,0.02689013,0.9721381
322040,its raining again all angry like ,its raining again all angry like ,4,0.7291732,0.22469132,0.04613545
879647,excited 3 days till my b-day ,excited 3 days till my b-day ,2,0.0013741014,0.010252037,0.9883739
1599660,rain is good ,rain is good ,4,0.0069382675,0.07308952,0.9199721
440297,"No matter how early I go to bed, I sleep until noon. ","No matter how early I go to bed, I sleep until noon. ",1,0.08777779,0.63576275,0.27645952
206137,Back in rainy/windy city ,Back in rainy/windy city ,4,0.23323224,0.68107176,0.08569599
338638,says it's a long and scary extended vacation  http://plurk.com/p/y2xes,says it's a long and scary extended vacation  http,0,0.32402763,0.5407631,0.1352094
590527,wanting to sleep byt can't ,wanting to sleep byt can't ,1,0.5480144,0.405841,0.04614464
1067312,FRIDAY&lt;3 i've been waiting for today foreverr ,FRIDAY&lt;3 i've been waiting for today foreverr ,5,0.0018616909,0.02959355,0.96854484
1271584,. @ronnieledesma I don't know... K! So are you going to beat box on Wed. I created a list on my FB if you want some ideas ,. @user I don't know... K! So are you going to beat box on Wed. I created a list on my FB if you want some ideas ,2,0.059415128,0.8227946,0.11779028
46653,decided not to go camping this weekend. cant find anywhere within 3 hours drive that wont be raining on sunday ,decided not to go camping this weekend. cant find anywhere within 3 hours drive that wont be raining on sunday ,4,0.44559276,0.45981833,0.09458892
1425591,hair &amp; make up for di party 2nite yayyy ,hair &amp; make up for di party 2nite yayyy ,3,0.0017511131,0.15581614,0.8424327
1232928,Judas Priest â Freewheel Burning - strange video  â« http://blip.fm/~7fixe,Judas Priest â Freewheel Burning - strange video  â« http,6,0.23626879,0.7285342,0.03519691
1568885,It's sprinkling tonight. hehe ,It's sprinkling tonight. hehe ,4,0.0025247214,0.22145309,0.7760222
98370,5am and wide awake  might as well just stay up at this point,5am and wide awake  might as well just stay up at this point,1,0.14807875,0.718834,0.13308725
590491,Isnt looking forward to waking up so early... ,Isnt looking forward to waking up so early... ,1,0.7780783,0.19144894,0.03047258
1062699,I meant like previous videos. ,I meant like previous videos. ,6,0.22420263,0.70042425,0.07537314
1315285,@ashleytisdale I love the vid u posted! It looked like so much fun! xxx ,@user I love the vid u posted! It looked like so much fun! xxx ,6,0.0015237296,0.0055776313,0.9928985
640707,Its rainin  me no like the rain,Its rainin  me no like the rain,4,0.2952164,0.5720689,0.13271466
886156,"@NJE09 yeah, was on my way to a hair cut... I always look angry   I'm not that tall, you're just a lil person","@user yeah, was on my way to a hair cut... I always look angry   I'm not that tall, you're just a lil person",3,0.77098656,0.20434754,0.024665784
1296465,@whoisCG thne happy bday 2 u... ,@user thne happy bday 2 u... ,2,0.0014432835,0.041990347,0.9565665
1363959,"@SpokeWithPics I am glad you like my pics, no not me ","@user I am glad you like my pics, no not me ",7,0.0033598482,0.03806699,0.9585733
137440,Glad it's Friday - It's been a sickly week ,Glad it's Friday - It's been a sickly week ,5,0.0207385,0.09378018,0.8854813
857615,@imkesdiary Lemme see your YouTube channel! Send me the URL ,@user Lemme see your YouTube channel! Send me the URL ,6,0.024989475,0.71865964,0.2563509
670301,"My husband is sleeping, it's his birthday, so i'm gonna let him, but all I wanted to do is spend some time with him... ","My husband is sleeping, it's his birthday, so i'm gonna let him, but all I wanted to do is spend some time with him... ",2,0.10213726,0.5053307,0.392532
507040,@juicystary007 so youtube just told me you have me blocked? i have no idea why! i don't think i've ever written anything really mean? ,@user so youtube just told me you have me blocked? i have no idea why! i don't think i've ever written anything really mean? ,6,0.88656,0.10510447,0.008335487
873337,just a 13 hour sleep ,just a 13 hour sleep ,1,0.16866791,0.7031686,0.12816355
515610,why did I just wake up. It is way to early. ,why did I just wake up. It is way to early. ,1,0.80412054,0.1704995,0.025379987
954609,Pissing down rain means no allotment. Even lazier Sunday for me now. ,Pissing down rain means no allotment. Even lazier Sunday for me now. ,4,0.71714914,0.22954637,0.053304393
946437,spent the day with lee over  ( he helped me study for exams.. =( ) buttt ehhhnywayy haha todays my mommys birthday!,spent the day with lee over  ( he helped me study for exams.. =( ) buttt ehhhnywayy haha todays my mommys birthday!,2,0.0021251428,0.09526554,0.9026094
1455787,Yay. I managed to get 10 hours sleep as oppossed to my normal 6 ,Yay. I managed to get 10 hours sleep as oppossed to my normal 6 ,1,0.0045137797,0.11900014,0.876486
818808,Didn't realize how much I missed my Saturday whole foods runs ,Didn't realize how much I missed my Saturday whole foods runs ,5,0.614177,0.301449,0.08437404
689932,yeah its my birthday im so happy!!! its 7:52 am and im so tired i need some sleep im babysittin right now on my birthday sucks ,yeah its my birthday im so happy!!! its 7:52 am and im so tired i need some sleep im babysittin right now on my birthday sucks ,2,0.024226034,0.04050415,0.9352698
56515,Dear god...why am i awake???  would like a lie in for once!!! *shakes fist at sky*,Dear god...why am i awake???  would like a lie in for once!!! *shakes fist at sky*,1,0.7785268,0.18432559,0.037147526
483111,how come this summer there has been a whole week of rain but not a whole week of sunny? and practically every day it rains. ,how come this summer there has been a whole week of rain but not a whole week of sunny? and practically every day it rains. ,4,0.558863,0.36778608,0.073350854
1200884,has decided to reactivate his YM  http://plurk.com/p/xhlmn,has decided to reactivate his YM  http,0,0.036449093,0.9185928,0.04495811
769648,Napping... still not feeling the greatest ,Napping... still not feeling the greatest ,1,0.8407578,0.14407732,0.015164937
562327,i've been waking up too early.   can't wait 'til i can sleep in next week!!,i've been waking up too early.   can't wait 'til i can sleep in next week!!,1,0.028712405,0.07740362,0.893884
778965,via ontd_political comes this graphic and shocking video of a 16 year old boy undergoing a 'gay exorcism' http://twurl.nl/tt2voz   ,via ontd_political comes this graphic and shocking video of a 16 year old boy undergoing a 'gay exorcism' http   ,6,0.69881195,0.2852134,0.015974589
1306060,@joshpaul13 i love deadliest catch too. hope your having fun in Arkansas. the new video is AMAZING by the way ,@user i love deadliest catch too. hope your having fun in Arkansas. the new video is AMAZING by the way ,6,0.0014830877,0.005870091,0.9926467
441193,"I need to make a new video, but i have no idea what to doo!!  what do you think?","I need to make a new video, but i have no idea what to doo!!  what do you think?",6,0.44705087,0.4988925,0.054056615
163436,"up and about to do my hair...ugh, i dont want to go to work today! ","up and about to do my hair...ugh, i dont want to go to work today! ",3,0.8474423,0.120041065,0.032516595
1301103,@KRUNCO He sounds PREFECT for you! I've seen pictures! i'm happy for your Runco ,@user He sounds PREFECT for you! I've seen pictures! i'm happy for your Runco ,7,0.0013430449,0.010239774,0.988417
718978,Wishin I was at bday bash .... ,Wishin I was at bday bash .... ,2,0.0828304,0.5941575,0.3230122
438340,"omg, the rain! it had better not do this tomorrow ","omg, the rain! it had better not do this tomorrow ",4,0.730425,0.21631846,0.053256404
313946,Training is a bore  - http://tweet.sg,Training is a bore  - http,0,0.85498387,0.12893063,0.016085438
776022,says holiday almost end!!  http://plurk.com/p/13qsfs,says holiday almost end!!  http,0,0.04473569,0.5504654,0.40479895
1154902,@MakeupLoveer  thank u sweetie  have a fun day too. just watched your new videos AWESOME!! wouldnt let me comment   xx,@user  thank u sweetie  have a fun day too. just watched your new videos AWESOME!! wouldnt let me comment   xx,6,0.002152103,0.0056027654,0.99224484
147511,work  than changing my hair... don't know what I'm gonna do yet but it should be fun!,work  than changing my hair... don't know what I'm gonna do yet but it should be fun!,3,0.02134148,0.09193787,0.8867208
